"Segment Name"
"Initial_State"
"Propagate"
"PRM1_Target.Maneuver"
"PRM1_Target.Propagate"
"ARB1"
"Propagate1"
"ARB2"
"Propagate2"
"ARB3"
"Propagate3"
"Final_ARB.Maneuver"
"Final_ARB.Propagate"
"Final_PRM.Maneuver"
"Final_PRM.Propagate"
"Propagate4"

"Time (UTCG)","X (km)","Y (km)","Z (km)","Vx (km/sec)","Vy (km/sec)","Vz (km/sec)"
7 Jan 2027 06:03:26.355,-31810.026788,17170.372829,8679.272775,-2.957596,-0.367317,-0.193041
7 Jan 2027 06:14:45.781,-33763.701361,16891.441134,8533.272901,-2.795023,-0.451829,-0.235752
7 Jan 2027 06:26:53.371,-35737.145218,16533.353344,8346.921427,-2.631237,-0.530659,-0.275566
7 Jan 2027 06:39:52.125,-37721.319652,16090.863946,8117.565509,-2.466171,-0.604024,-0.312594
7 Jan 2027 06:53:45.115,-39705.615891,15558.681521,7842.532109,-2.299720,-0.672116,-0.346934
7 Jan 2027 07:08:35.506,-41677.773719,14931.511609,7519.149993,-2.131734,-0.735101,-0.378670
7 Jan 2027 07:24:26.489,-43623.584633,14204.167562,7144.806779,-1.962019,-0.793115,-0.407871
7 Jan 2027 07:41:21.305,-45526.799707,13371.635188,6716.982055,-1.790331,-0.846265,-0.434590
7 Jan 2027 07:59:23.209,-47368.883727,12429.191883,6233.308544,-1.616365,-0.894623,-0.458863
7 Jan 2027 08:18:35.439,-49128.774206,11372.544203,5691.642652,-1.439752,-0.938223,-0.480709
7 Jan 2027 08:39:01.226,-50782.676174,10197.949363,5090.126765,-1.260040,-0.977057,-0.500121
7 Jan 2027 09:00:43.804,-52303.785131,8902.356742,4427.261868,-1.076674,-1.011064,-0.517067
7 Jan 2027 09:23:46.401,-53661.903267,7483.600400,3702.006378,-0.888976,-1.040117,-0.531482
7 Jan 2027 09:48:12.465,-54823.126643,5940.391005,2913.772662,-0.696082,-1.064011,-0.543259
7 Jan 2027 10:14:05.793,-55749.078382,4272.456053,2062.500017,-0.496886,-1.082430,-0.552234
7 Jan 2027 10:41:30.669,-56395.775243,2480.779959,1148.779237,-0.289974,-1.094905,-0.558167
7 Jan 2027 11:10:29.699,-56711.834710,570.559278,175.361213,-0.073797,-1.100745,-0.560702
