rx (km),ry (km),rz (km),vx (km/sec),vy (km/sec),vz (km/sec),mass (kg),time (sec)
6101.762382249421,-4603.0686126739565,3.384230597795084e-18,8.176425753530216,5.936683095808185,1.2003217645496967e-19,218.98496541672336,848092.0697138507
6105.408523109449,-4600.420445450855,3.4377649688365134e-18,8.174031689968247,5.938542254253014,1.2003299919786562e-19,218.9805200797772,848092.5157124861
6109.053596175289,-4597.771449489111,3.4912997025208316e-18,8.171637424179389,5.940399423689225,1.2003380263333585e-19,218.976074742831,848092.9617111211
6112.697601357079,-4595.121625675844,3.544834790223676e-18,8.169242958246308,5.942254604753113,1.2003458674658436e-19,218.97162940588484,848093.4077097564
6116.340538566152,-4592.47097489756,3.598370223340916e-18,8.16684829425216,5.94410779807992,1.2003535158448928e-19,218.96718406893868,848093.8537083918
6119.982407714505,-4589.819498040813,3.6519059932803125e-18,8.164453434276377,5.945959004309142,1.2003609716866144e-19,218.9627387319925,848094.2997070268
6123.623208715325,-4587.167195991529,3.705442091460628e-18,8.162058380395603,5.9478082240833885,1.2003682352788784e-19,218.95829339504633,848094.7457056622
6127.262941482463,-4584.514069635693,3.7589785093129354e-18,8.159663134684326,5.949655458047518,1.20037530676929e-19,218.95384805810014,848095.1917042972
6130.901605930954,-4581.860119858659,3.81251523827074e-18,8.157267699214248,5.951500706849452,1.200382186306353e-19,218.94940272115397,848095.6377029325
6134.5392019765,-4579.205347545833,3.866052269779722e-18,8.154872076055044,5.953343971139195,1.200388874161393e-19,218.9449573842078,848096.0837015676
6138.175729535979,-4576.549753581987,3.919589595295533e-18,8.152476267273562,5.955185251569857,1.200395370544531e-19,218.94051204726162,848096.5297002029
6141.811188526937,-4573.893338851944,3.97312720628328e-18,8.150080274934522,5.957024548796693,1.2004016756659285e-19,218.93606671031546,848096.975698838
6145.4455788680325,-4571.236104239982,4.0266650942173685e-18,8.147684101099953,5.958861863477912,1.2004077897363862e-19,218.9316213733693,848097.4216974733
6149.078900478843,-4568.5780506300725,4.0802032505817044e-18,8.145287747829407,5.960697196274314,1.2004137129668264e-19,218.9271760364231,848097.8676961084
6152.711153279667,-4565.919178906166,4.1337416668695e-18,8.142891217180239,5.962530547848939,1.2004194455678125e-19,218.92273069947694,848098.3136947437
6156.342337191985,-4563.259489951559,4.187280334583456e-18,8.140494511206997,5.964361918867867,1.2004249877507516e-19,218.91828536253075,848098.7596933788
6159.972452137929,-4560.598984649602,4.2408192452356345e-18,8.138097631962104,5.966191309999291,1.2004303397268047e-19,218.9138400255846,848099.2056920141
6163.601498040809,-4557.937663882998,4.294358390348771e-18,8.13570058149525,5.968018721914347,1.200435501814967e-19,218.9093946886384,848099.6516906492
6167.229474824582,-4555.275528534501,4.347897761459778e-18,8.133303361853848,5.969844155286436,1.2004404741186685e-19,218.90494935169224,848100.0976892845
